timestamp,ssid,bssid,level,frequency
1780239222838,MCSLab RTT AP3,b0:e4:d5:88:16:86,-28,5745
1780239222838,CPE5G_5G140,00:1f:05:11:a0:a6,-89,5700
1780239222838,,82:5a:b0:2d:08:bc,-92,5785
1780239222838,SSCAS_HS,e8:9c:25:89:c2:28,-65,2457
1780239222838,IDBA_WIFI_Black8_5G,b4:b0:24:71:a3:7a,-84,5765
1780239222838,SSCAS_HS,e8:9c:25:89:c2:2c,-58,5805
1780239222838,Xiaomi_2286_5G,50:64:2b:c8:22:88,-73,5785
1780239222838,wanglab,f0:2f:74:c7:d5:4c,-75,5805
1780239222838,IDBA_BigRoom_5G-1,92:28:aa:80:a3:9d,-77,5260
1780239222838,DBSE-92517,d8:ec:5e:dc:62:fa,-86,5765
1780239222838,IDBA_BigRoom_5G-2,b2:28:aa:80:a3:a1,-77,5500
1780239222838,NETGEAR82,6c:cd:d6:e1:33:83,-90,2422
1780239222838,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-54,5745
1780239222838,CatsLab-6F,54:af:97:89:9c:b2,-87,5785
1780239222838,,cc:28:aa:80:a3:9c,-77,5260
1780239222838,MCSLab RTT AP3,e4:5e:1b:a0:5e:82,-46,2412
1780239222838,MCSLAB_2.4G,50:64:2b:9c:86:f1,-38,2412
1780239222838,MCSLAB_5G,50:64:2b:9c:86:f2,-37,5785
1780239222838,PHY,40:86:cb:d8:48:50,-66,5200
1780239222838,MCSLab RTT AP1,24:29:34:e2:4c:3a,-44,2462
1780239222838,SmileLab92583,08:62:66:40:be:50,-74,2427
1780239222838,MCSLab RTT AP3,b0:e4:d5:88:16:8a,-47,2462
1780239222838,,cc:28:aa:80:a3:a0,-77,5500
1780239222838,SmileLab92583,08:62:66:40:be:54,-81,5745
1780239222838,NETGEAR74-5G,6c:cd:d6:ef:6b:32,-75,5220
1780239232090,MCSLab RTT AP3,b0:e4:d5:88:16:86,-31,5745
1780239232090,,12:d3:62:8c:91:6b,-94,5745
1780239232090,SSCAS,10:7c:61:db:e2:28,-69,2437
1780239232090,DBSE-92517,d8:ec:5e:dc:62:f9,-90,5220
1780239232090,,14:84:73:45:16:6b,-90,5680
1780239232090,IDBA_WIFI_Black8_5G,b4:b0:24:71:a3:7a,-82,5765
1780239232090,SSCAS_HS,e8:9c:25:89:c2:2c,-60,5805
1780239232090,wanglab,f0:2f:74:c7:d5:4c,-72,5805
1780239232090,IDBA_BigRoom_5G-1,92:28:aa:80:a3:9d,-74,5260
1780239232090,Xiaomi_2286,50:64:2b:c8:22:87,-57,2447
1780239232090,MCSLab RTT AP1,24:29:34:e2:4c:36,-38,5180
1780239232090,NCKU-WiFi(2.4G),1c:d1:e0:cc:b5:28,-75,2412
1780239232090,NCKUEE-Guest,1c:d1:e0:cc:b5:23,-77,2412
1780239232090,,1c:d1:e0:cc:b5:24,-77,2412
1780239232090,NCKUEE-WiFi,1c:d1:e0:cc:b5:21,-76,2412
1780239232090,eduroam,1c:d1:e0:cc:b5:20,-76,2412
1780239232090,IDBA_BigRoom_5G-2,b2:28:aa:80:a3:a1,-79,5500
1780239232090,NCKU-WiFi(2.4G),1c:d1:e0:ce:60:e8,-83,2462
1780239232090,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-52,5745
1780239232090,CatsLab-6F,54:af:97:89:9c:b2,-82,5785
1780239232090,,cc:28:aa:80:a3:9c,-74,5260
1780239232090,MCSLab RTT AP3,e4:5e:1b:a0:5e:82,-52,2412
1780239232090,MCSLAB_2.4G,50:64:2b:9c:86:f1,-39,2412
1780239232090,MCSLAB_5G,50:64:2b:9c:86:f2,-35,5785
1780239232090,PHY,40:86:cb:d8:48:50,-69,5200
1780239232090,MCSLab RTT AP1,24:29:34:e2:4c:3a,-36,2462
1780239232090,SmileLab92583,08:62:66:40:be:50,-77,2427
1780239232090,NCKUEE-Guest,14:84:73:45:16:6c,-89,5680
1780239232090,MCSLab RTT AP3,b0:e4:d5:88:16:8a,-34,2462
